Emoji,Location,Alias,Division ,Conf,Short,String,Hashtag,HT2,X,TikTok,Off Player,Def Player,,Week 1
🦅,Philadelphia,Eagles,East,NFC,PHI,🦅 Philadelphia Eagles,#FlyEaglesFly,,,,,,,
🪖,Washington,Commanders,East,NFC,WAS,🪖 Washington Commanders,#RaiseHail,,,,,,,
🤠,Dallas,Cowboys,East,NFC,DAL,🤠 Dallas Cowboys,#DallasCowboys,#cowboys,,,,,,
🗽,New York,Giants,East,NFC,NYG,🗽 New York Giants,#NYGiants,,,,,,,
🦁,Detroit,Lions,North,NFC,DET,🦁 Detroit Lions,#OnePride,,,,,,,Defer
😈,Minnesota,Vikings,North,NFC,MIN,😈 Minnesota Vikings,#Skol,,,,,,,-
🧀,Green Bay,Packers,North,NFC,GB,🧀 Green Bay Packers,#GoPackGo,#Packers,Packers,,,,,-
🐻,Chicago,Bears,North,NFC,CHI,🐻 Chicago Bears,#DaBears,#bears,ChicagoBears,,,,,Defer
🐏,Los Angeles,Rams,West,NFC,LAR,🐏 Los Angeles Rams,#RamsHouse,#Rams,,,,,,
🌉,San Francisco,49ers,West,NFC,SF,🌉 San Francisco 49ers,#FTTB,,49ers,,,,,Defer
‍‍🐦,Seattle,Seahawks,West,NFC,SEA,‍‍🐦 Seattle Seahawks,#seahawks,,Seahawks,,,,,-
🐤,Arizona,Cardinals,West,NFC,ARI,🐤 Arizona Cardinals,#BirdGang,,AZCardinals,,,,,
🏴‍☠️,Tampa Bay,Buccaneers,South,NFC,TB,🏴‍☠️ Tampa Bay Buccaneers,#WeAreTheKrewe,,Buccaneers,,,,,Defer
🐦‍🔥,Atlanta,Falcons,South,NFC,ATL,🐦‍🔥 Atlanta Falcons,#RiseUp,,AtlantaFalcons,,,,,-
🐈‍⬛,Carolina,Panthers,South,NFC,CAR,🐈‍⬛ Carolina Panthers,#KeepPounding,,Panthers,,,,,
⚜️,New Orleans,Saints,South,NFC,NO,⚜️ New Orleans Saints,#Saints,,Saints,,,,,
🏹,Kansas City,Chiefs,West,AFC,KC,🏹 Kansas City Chiefs,#ChiefsKingdom ,#chiefs,,,@PatrickMahomes,,,
⚡️,Los Angeles,Chargers,West,AFC,LAC,⚡️ Los Angeles Chargers,#BoltUp,#Chargers,chargers,,,,,
🐴,Denver,Broncos,West,AFC,DEN,🐴 Denver Broncos,#BroncosCountry,,Broncos,,,,,Defer
🎲,Las Vegas,Raiders,West,AFC,LV,🎲 Las Vegas Raiders,#RaiderNation ,,,,,,,
🐦‍⬛,Baltimore,Ravens,North,AFC,BAL,🐦‍⬛ Baltimore Ravens,#RavensFlock,#TRUZZ,,,@Lj_era8,,,Defer
🐯,Cincinnati,Bengals,North,AFC,CIN,🐯 Cincinnati Bengals,#WhoDey,,Bengals,,,,,
👷‍♂️,Pittsburgh,Steelers,North,AFC,PIT,👷‍♂️ Pittsburgh Steelers,#steelers,,,,,,,Defer
🟤,Cleveland,Browns,North,AFC,CLE,🟤 Cleveland Browns,#DawgPound,,Browns,,,,,
🦬,Buffalo,Bills,East,AFC,BUF,🦬 Buffalo Bills,#BillsMafia,#GoBills,BuffaloBills,,@JoshAllenQB,,,-
🇺🇸,New England,Patriots,East,AFC,NE,🇺🇸 New England Patriots,#NEPats,,Patriots,,,,,
🐬,Miami,Dolphins,East,AFC,MIA,🐬 Miami Dolphins,#PhinsUp,,,,,,,
🛩️,New York,Jets,East,AFC,NYJ,🛩️ New York Jets,#JetUp,,nyjets,,,,,-
🐂,Houston,Texans,South,AFC,HOU,🐂 Houston Texans,#HTownMade,,HoustonTexans,,,,,
🐎,Indianapolis,Colts,South,AFC,IND,🐎 Indianapolis Colts,#ForTheShoe,,Colts,,,,,
🐆,Jacksonville,Jaguars,South,AFC,JAX,🐆 Jacksonville Jaguars,#DUUUVAL,,Jaguars,,,,,
🗡️,Tennessee,Titans,South,AFC,TEN,🗡️ Tennessee Titans,#TitanUp,,,,,,,-
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,#FlyEaglesFly #BoltUp #RaiderNation #RavensFlock #OnePride #Skol,,,,,,,,
